,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,7.664583333333332,4.395833333333333,de,192
"Link
","Link
",MISC,,,de,173
britische,britische,MISC,,,de,81
ukrainische,ukrainische,MISC,,,de,63
britischen,britischen,MISC,,,de,48
ukrainischen,ukrainischen,MISC,,,de,47
russischen,russischen,MISC,,,de,39
Republikaner,Republikaner,MISC,,,de,36
französische,französische,MISC,,,de,34
russische,russische,MISC,,,de,30
amerikanische,amerikanische,MISC,,,de,27
Iran-Krieg,Iran-Krieg,MISC,,,de,27
Krieg,Krieg,MISC,,,de,27
iranische,iranische,MISC,,,de,27
Amazon,Amazon,MISC,,,de,23
deutschen,deutschen,MISC,,,de,20
iranischen,iranischen,MISC,,,de,19
französischen,französischen,MISC,,,de,18
amerikanischen,amerikanischen,MISC,,,de,17
Starmer,Starmer,MISC,0.13124999999999998,0.1,de,15
Zeit,Zeit,MISC,,,de,15
ePaper,ePaper,MISC,,,de,15
ARD-Talkshow,ARD-Talkshow,MISC,,,de,15
Google,Google,MISC,,,de,14
Mother Mary“,Mother Mary“,MISC,,,de,13
Europa League,Europa League,MISC,,,de,13
britischer,britischer,MISC,,,de,13
republikanische,republikanische,MISC,,,de,13
Truth Social,Truth Social,MISC,,,de,12
spanischen,spanischen,MISC,,,de,12
Maischberger“,Maischberger“,MISC,,,de,11
spanische,spanische,MISC,,,de,11
Spider-Noir“,Spider-Noir“,MISC,,,de,11
Britischer,Britischer,MISC,,,de,11
stern+statt,stern+statt,MISC,,,de,11
Krieges,Krieges,MISC,,,de,11
Die Odyssee“,Die Odyssee“,MISC,,,de,11
stern+,stern+,MISC,,,de,11
Kap der Angst“,Kap der Angst“,MISC,,,de,11
Capital</li><li>4,Capital</li><li>4,MISC,,,de,11
Apple TV,Apple TV,MISC,,,de,11
Noir-Look,Noir-Look,MISC,,,de,10
Spider-Man,Spider-Man,MISC,0.0,0.0,de,10
Odyssee,Odyssee,MISC,,,de,10
d…,d…,MISC,0.65,0.0,de,10
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,10
Spider-Noir,Spider-Noir,MISC,-0.175,0.0,de,10
Fußball-WM-2026-News,Fußball-WM-2026-News,MISC,,,de,10
europäischen,europäischen,MISC,,,de,10
israelischen,israelischen,MISC,,,de,9
polnische,polnische,MISC,,,de,9
englischen,englischen,MISC,,,de,8
Trump,Trump,MISC,-0.08375,0.0,de,8
Prime Video,Prime Video,MISC,,,de,8
Die Odyssee,Die Odyssee,MISC,,,de,8
Tages,Tages,MISC,,,de,8
deutsche,deutsche,MISC,,,de,8
sozialen,sozialen,MISC,,,de,8
KI,KI,MISC,-0.175,0.0,de,7
NATO-Gipfel,NATO-Gipfel,MISC,-3.0,0.0,de,7
Britische,Britische,MISC,,,de,7
Der Teufel,Der Teufel,MISC,,,de,7
Fußball-WM,Fußball-WM,MISC,,,de,7
Business-Ticker,Business-Ticker,MISC,,,de,7
Berliner,Berliner,MISC,,,de,6
TTS-Player,TTS-Player,MISC,,,de,6
chinesische,chinesische,MISC,,,de,6
demokratischen,demokratischen,MISC,,,de,6
…,…,MISC,0.0,0.0,de,6
venezolanische,venezolanische,MISC,,,de,6
republikanischen,republikanischen,MISC,,,de,5
Französischer,Französischer,MISC,,,de,5
Angriff auf den Iran,Angriff auf den Iran,MISC,,,de,5
HBO Max,HBO Max,MISC,,,de,5
Ukrainer,Ukrainer,MISC,-0.7,0.0,de,5
Inception o…,Inception o…,MISC,,,de,5
Iran-Kriegs,Iran-Kriegs,MISC,,,de,5
Film-Charts,Film-Charts,MISC,,,de,5
MagentaTV,MagentaTV,MISC,,,de,5
Präsidentschaftswahl 2027,Präsidentschaftswahl 2027,MISC,,,de,5
Le Pen,Le Pen,MISC,0.0,0.0,de,5
Kate,Kate,MISC,,,de,5
nordenglischen,nordenglischen,MISC,,,de,5
OpenAI,OpenAI,MISC,,,de,5
Trooping the Colour“,Trooping the Colour“,MISC,,,de,4
Harry und Meghan,Harry und Meghan,MISC,,,de,4
russischer,russischer,MISC,,,de,4
Patriot-Raketen,Patriot-Raketen,MISC,,,de,4
Ukrainischer,Ukrainischer,MISC,,,de,4
NATO-Verbündeten,NATO-Verbündeten,MISC,,,de,4
Angriff,Angriff,MISC,,,de,4
Der Morgen danach[3:47]2,Der Morgen danach[3:47]2,MISC,,,de,4
KI-Modelle,KI-Modelle,MISC,,,de,4
Beatles-Legende,Beatles-Legende,MISC,1.0,0.0,de,4
Ich sterb für dich,Ich sterb für dich,MISC,,,de,4
Gäste & Themen,Gäste & Themen,MISC,,,de,4
kubanischen,kubanischen,MISC,,,de,4
englische,englische,MISC,,,de,4
Statistis…,Statistis…,MISC,,,de,4
katholischen,katholischen,MISC,,,de,4
polnischen,polnischen,MISC,,,de,4
christlichen,christlichen,MISC,,,de,4
Ein Bundesrichter in Washington,Ein Bundesrichter in Washington,MISC,,,de,4
Das US-Militär,Das US-Militär,MISC,,,de,4
Facebook,Facebook,MISC,,,de,4
Internet,Internet,MISC,,,de,4
Kriegs,Kriegs,MISC,,,de,4
Waffenruhe,Waffenruhe,MISC,-1.0,0.0,de,4
Dienstagnachmittag,Dienstagnachmittag,MISC,,,de,4
Fast & Furious“,Fast & Furious“,MISC,,,de,4
X,X,MISC,,,de,3
Queen Elizabeth II,Queen Elizabeth II,MISC,,,de,3
Citroen 2CV,Citroen 2CV,MISC,,,de,3
you seem pretty sad for a girl,you seem pretty sad for a girl,MISC,,,de,3
Axel Springer Award,Axel Springer Award,MISC,,,de,3
Londoner,Londoner,MISC,,,de,3
Irankrieg,Irankrieg,MISC,,,de,3
Iran-Verhandlungen,Iran-Verhandlungen,MISC,0.0,0.0,de,3
Block-Prozess,Block-Prozess,MISC,,,de,3
s…,s…,MISC,,,de,3
WM-Song,WM-Song,MISC,,,de,3
Fußball-WM in den USA,Fußball-WM in den USA,MISC,,,de,3
türkischen,türkischen,MISC,,,de,3
Anschluss,Anschluss,MISC,,,de,3
D…,D…,MISC,0.7,0.0,de,3
europäische,europäische,MISC,,,de,3
Kap der Angst,Kap der Angst,MISC,,,de,3
Labour-Politiker,Labour-Politiker,MISC,0.0,1.6,de,3
picture alliance/dpa/PA Wire,picture alliance/dpa/PA Wire,MISC,,,de,3
Uhr deutscher Zeit,Uhr deutscher Zeit,MISC,,,de,3
Wiener,Wiener,MISC,,,de,3
Venezuela,Venezuela,MISC,0.014285714285714285,0.0,de,3
Spider Noir“,Spider Noir“,MISC,,,de,3
Trump-Regierung,Trump-Regierung,MISC,,,de,3
BSW,BSW,MISC,,,de,3
Ein Kuss,Ein Kuss,MISC,,,de,3
The Boys of Dungeon Lane“,The Boys of Dungeon Lane“,MISC,,,de,3
Kriegsbeginn,Kriegsbeginn,MISC,,,de,3
Der Krieg,Der Krieg,MISC,,,de,3
jemenitischen,jemenitischen,MISC,,,de,3
Ukrainische,Ukrainische,MISC,,,de,3
S…,S…,MISC,,,de,3
Amazon Prime Video,Amazon Prime Video,MISC,,,de,3
israelische,israelische,MISC,,,de,3
Alphabet-Aktie,Alphabet-Aktie,MISC,,,de,3
G…,G…,MISC,,,de,3
deutscher,deutscher,MISC,,,de,3
Fussball-WM,Fussball-WM,MISC,,,de,3
A…,A…,MISC,0.0,0.0,de,3
albanischen,albanischen,MISC,,,de,3
Rechte Patrioten-Fraktion,Rechte Patrioten-Fraktion,MISC,,,de,3
iPhone,iPhone,MISC,,,de,3
Epstein-Akten,Epstein-Akten,MISC,,,de,3
Mother Mary,Mother Mary,MISC,,,de,3
demokratische,demokratische,MISC,,,de,3
Popstars,Popstars,MISC,,,de,3
römischen,römischen,MISC,,,de,3
sozialistischen,sozialistischen,MISC,,,de,3
Supreme Court,Supreme Court,MISC,,,de,3
Liveblog Fußball-WM 2026,Liveblog Fußball-WM 2026,MISC,,,de,3
Der Mann,Der Mann,MISC,,,de,3
wol…,wol…,MISC,,,de,3
amerikanischen Senat,amerikanischen Senat,MISC,,,de,2
ukrainischer,ukrainischer,MISC,,,de,2
Nac…,Nac…,MISC,,,de,2
belarussischen,belarussischen,MISC,,,de,2
WELT,WELT,MISC,,,de,2
KI-generierte,KI-generierte,MISC,,,de,2
The Boys Of Dungeon Lane,The Boys Of Dungeon Lane,MISC,,,de,2
letztes Jahr,letztes Jahr,MISC,,,de,2
gemacht</li><li,gemacht</li><li,MISC,,,de,2
Tag des Iran-Kriegs,Tag des Iran-Kriegs,MISC,,,de,2
NZZ Pro,NZZ Pro,MISC,,,de,2
Hollywoodstar Nicolas Cage,Hollywoodstar Nicolas Cage,MISC,,,de,2
Verletzen Abkommen jeden Tag,Verletzen Abkommen jeden Tag,MISC,,,de,2
Wall Street Journal,Wall Street Journal,MISC,,,de,2
London Tech Week,London Tech Week,MISC,,,de,2
June 29,June 29,MISC,,,de,2
Ein Kuss in Paris[3:45]3,Ein Kuss in Paris[3:45]3,MISC,,,de,2
WM-Vorrunde,WM-Vorrunde,MISC,,,de,2
Trooping the Colour,Trooping the Colour,MISC,,,de,2
Katalanisch,Katalanisch,MISC,,,de,2
MMA-Kämpfer,MMA-Kämpfer,MISC,,,de,2
Listening Partys,Listening Partys,MISC,,,de,2
Kitschkrieg,Kitschkrieg,MISC,,,de,2
hören</li><li,hören</li><li,MISC,,,de,2
Annexions-Fantasien,Annexions-Fantasien,MISC,,,de,2
Ente,Ente,MISC,2.0,0.0,de,2
Attacke im Internet,Attacke im Internet,MISC,,,de,2
Enfant Terrible,Enfant Terrible,MISC,,,de,2
Fußball-WM in Mexiko,Fußball-WM in Mexiko,MISC,,,de,2
US-Wirtschaft,US-Wirtschaft,MISC,,,de,2
Wiederaufbau-Konferenz für die Ukraine,Wiederaufbau-Konferenz für die Ukraine,MISC,,,de,2
Magnifica Humanitas“,Magnifica Humanitas“,MISC,,,de,2
Fischers Hits,Fischers Hits,MISC,,,de,2
Netflix,Netflix,MISC,0.0,0.0,de,2
römischer,römischer,MISC,,,de,2
erschienen</li><li,erschienen</li><li,MISC,,,de,2
Brand New Day,Brand New Day,MISC,,,de,2
Iranische,Iranische,MISC,,,de,2
Toy Story 5,Toy Story 5,MISC,,,de,2
Raval von Barcelona,Raval von Barcelona,MISC,,,de,2
WM,WM,MISC,,,de,2
z…,z…,MISC,,,de,2
Pride-Parade,Pride-Parade,MISC,,,de,2
iranischem,iranischem,MISC,,,de,2
Donnerstagnachmittag,Donnerstagnachmittag,MISC,0.0,0.0,de,2
Toy Story,Toy Story,MISC,,,de,2
Xi,Xi,MISC,,,de,2
soziale,soziale,MISC,,,de,2
The Bear“,The Bear“,MISC,,,de,2
Midterms,Midterms,MISC,1.0,0.0,de,2
sowjetischen,sowjetischen,MISC,,,de,2
Hedgefonds-Manager,Hedgefonds-Manager,MISC,,,de,2
Schweizer,Schweizer,MISC,,,de,2
Nacht03,Nacht03,MISC,,,de,2
07.06.2026,07.06.2026,MISC,,,de,2
Insa-Ranking,Insa-Ranking,MISC,,,de,2
Todesopfer auf 30,Todesopfer auf 30,MISC,,,de,2
Tut das Richtige“,Tut das Richtige“,MISC,,,de,2
russischen Luftangriffen auf Kiew,russischen Luftangriffen auf Kiew,MISC,,,de,2
Der Aufmarsch,Der Aufmarsch,MISC,,,de,2
Innenminister D…,Innenminister D…,MISC,,,de,2
Marine Le Pen,Marine Le Pen,MISC,0.0,0.0,de,2
Labour-Regierung,Labour-Regierung,MISC,,,de,2
spanischer,spanischer,MISC,,,de,2
DHL,DHL,MISC,,,de,2
Aktuell seht ihr,Aktuell seht ihr,MISC,,,de,2
russischen Angriff auf die Ukraine,russischen Angriff auf die Ukraine,MISC,,,de,2
VISIONS.de,VISIONS.de,MISC,0.0,0.0,de,2
Spanienreise,Spanienreise,MISC,,,de,2
Drogenterrorismus“,Drogenterrorismus“,MISC,,,de,2
Trump und Xi,Trump und Xi,MISC,,,de,2
gerechten Krieg,gerechten Krieg,MISC,,,de,2
Schlagerboom,Schlagerboom,MISC,,,de,2
June 2,June 2,MISC,,,de,2
R…,R…,MISC,,,de,2
Tiktok-Zeitalter,Tiktok-Zeitalter,MISC,,,de,2
Krieg gegen die Ukraine,Krieg gegen die Ukraine,MISC,,,de,2
Richter,Richter,MISC,,,de,2
China-Besuch 2017,China-Besuch 2017,MISC,,,de,2
Anthropic,Anthropic,MISC,,,de,2
xAI,xAI,MISC,,,de,2
Matchbox,Matchbox,MISC,,,de,2
Cape Fear“,Cape Fear“,MISC,,,de,2
republikanisches,republikanisches,MISC,,,de,2
Präsidentschaftswahl 2028,Präsidentschaftswahl 2028,MISC,,,de,2
Russische,Russische,MISC,,,de,2
This Boys Life,This Boys Life,MISC,,,de,2
Stuart Fails to Save the Universe“,Stuart Fails to Save the Universe“,MISC,,,de,2
russisches,russisches,MISC,,,de,2
Spider-Man-Mythos,Spider-Man-Mythos,MISC,,,de,2
Marvel-Serie,Marvel-Serie,MISC,,,de,2
YOLO-Republikaner,YOLO-Republikaner,MISC,,,de,2
Rolling-Stones-Frontmann,Rolling-Stones-Frontmann,MISC,,,de,2
chinesischen,chinesischen,MISC,,,de,2
irakischen,irakischen,MISC,,,de,2
Selenskyj“,Selenskyj“,MISC,,,de,2
Reform UK,Reform UK,MISC,,,de,2
Das Volk,Das Volk,MISC,,,de,2
Tag des Krieges,Tag des Krieges,MISC,,,de,2
Im Fall des Anschlags,Im Fall des Anschlags,MISC,,,de,2
Sofortprogramm,Sofortprogramm,MISC,,,de,2
Adidas-Rivale Nike,Adidas-Rivale Nike,MISC,,,de,2
Gr…,Gr…,MISC,,,de,2
h…,h…,MISC,,,de,2
Kassationsgerichts,Kassationsgerichts,MISC,2.0,0.0,de,2
Truth Social“,Truth Social“,MISC,,,de,2
Flamingo-Revolution,Flamingo-Revolution,MISC,,,de,2
katholischer,katholischer,MISC,,,de,2
The Boys from Dungeon Lane“,The Boys from Dungeon Lane“,MISC,,,de,2
Ukrainekriegs,Ukrainekriegs,MISC,,,de,2
Krieg in Nahost,Krieg in Nahost,MISC,,,de,2
Spanien-Reise,Spanien-Reise,MISC,-0.7,0.0,de,2
F…,F…,MISC,,,de,2
Frieden und Dialog,Frieden und Dialog,MISC,,,de,2
Frieden und Solidarität“,Frieden und Solidarität“,MISC,,,de,2
Tour“,Tour“,MISC,,,de,2
En…,En…,MISC,,,de,2
Mandelson-Akten,Mandelson-Akten,MISC,,,de,2
Ich spreche Ihrem Land,Ich spreche Ihrem Land,MISC,,,de,2
philippinische,philippinische,MISC,,,de,2
Angriff nahe der Straße von Hormus,Angriff nahe der Straße von Hormus,MISC,,,de,2
Amerikanische,Amerikanische,MISC,,,de,2
Thronfolgers“,Thronfolgers“,MISC,,,de,2
Britisches,Britisches,MISC,,,de,2
Schlager Hits,Schlager Hits,MISC,,,de,2
10th Anniversary Edition)[3:31]5,10th Anniversary Edition)[3:31]5,MISC,,,de,2
Babel,Babel,MISC,,,de,2
